Method used: EulerSimpleImplicit
t	y_num	y_a	|y_num-y_a|
8.75000e-01	7.67176e-01	7.67544e-01	3.67329e-04
9.00000e-01	7.82951e-01	7.83327e-01	3.75685e-04
9.25000e-01	7.98237e-01	7.98621e-01	3.83799e-04
9.50000e-01	8.13024e-01	8.13416e-01	3.91670e-04
9.75000e-01	8.27303e-01	8.27702e-01	3.99293e-04
1.00000e+00	8.41064e-01	8.41471e-01	4.06666e-04
1.02500e+00	8.54300e-01	8.54714e-01	4.13784e-04
1.05000e+00	8.67003e-01	8.67423e-01	4.20642e-04
1.07500e+00	8.79163e-01	8.79590e-01	4.27238e-04
1.10000e+00	8.90774e-01	8.91207e-01	4.33566e-04
1.12500e+00	9.01828e-01	9.02268e-01	4.39623e-04
1.15000e+00	9.12319e-01	9.12764e-01	4.45405e-04
1.17500e+00	9.22239e-01	9.22690e-01	4.50909e-04
1.20000e+00	9.31583e-01	9.32039e-01	4.56130e-04
1.22500e+00	9.40345e-01	9.40806e-01	4.61067e-04
1.25000e+00	9.48519e-01	9.48985e-01	4.65716e-04
1.27500e+00	9.56100e-01	9.56570e-01	4.70074e-04
1.30000e+00	9.63084e-01	9.63558e-01	4.74137e-04
1.32500e+00	9.69466e-01	9.69944e-01	4.77905e-04
1.35000e+00	9.75242e-01	9.75723e-01	4.81374e-04
1.37500e+00	9.80409e-01	9.80893e-01	4.84542e-04
1.40000e+00	9.84962e-01	9.85450e-01	4.87407e-04
1.42500e+00	9.88901e-01	9.89391e-01	4.89967e-04
1.45000e+00	9.92221e-01	9.92713e-01	4.92222e-04
1.47500e+00	9.94921e-01	9.95415e-01	4.94168e-04
1.50000e+00	9.96999e-01	9.97495e-01	4.95806e-04
1.52500e+00	9.98454e-01	9.98952e-01	4.97134e-04
1.55000e+00	9.99286e-01	9.99784e-01	4.98152e-04
1.57500e+00	9.99492e-01	9.99991e-01	4.98857e-04
1.60000e+00	9.99074e-01	9.99574e-01	4.99252e-04
1.62500e+00	9.98032e-01	9.98531e-01	4.99334e-04
1.65000e+00	9.96366e-01	9.96865e-01	4.99104e-04
1.67500e+00	9.94077e-01	9.94576e-01	4.98562e-04
1.70000e+00	9.91167e-01	9.91665e-01	4.97709e-04
1.72500e+00	9.87638e-01	9.88134e-01	4.96544e-04
1.75000e+00	9.83491e-01	9.83986e-01	4.95070e-04
1.77500e+00	9.78729e-01	9.79223e-01	4.93285e-04
1.80000e+00	9.73356e-01	9.73848e-01	4.91193e-04
1.82500e+00	9.67375e-01	9.67864e-01	4.88794e-04
1.85000e+00	9.60789e-01	9.61275e-01	4.86089e-04
1.87500e+00	9.53603e-01	9.54086e-01	4.83080e-04
1.90000e+00	9.45820e-01	9.46300e-01	4.79769e-04
1.92500e+00	9.37447e-01	9.37923e-01	4.76159e-04
1.95000e+00	9.28487e-01	9.28960e-01	4.72251e-04
1.97500e+00	9.18948e-01	9.19416e-01	4.68048e-04
2.00000e+00	9.08834e-01	9.09297e-01	4.63552e-04
